year,week,downloaded_bytes,sha256,url
2018,37,143782,ac1eec30bd53e1601da2a943b8c66e8660842eba405217ff7b8e29fede7074fb,https://candledata.fxcorporate.com/m1/EURUSD/2018/37.csv.gz
2018,38,145153,7138d60cc8780f0fdbcfabc8a7eaab9f31c3115b7bea737ee7a4899ebfda54a3,https://candledata.fxcorporate.com/m1/EURUSD/2018/38.csv.gz
2018,39,145001,37ef80a77505da71680d47c866cb015912d4cfffe4ee20fac4e645d7a8b6ead2,https://candledata.fxcorporate.com/m1/EURUSD/2018/39.csv.gz
2018,40,145501,6c8c1a2d80a0565b6568d22672eff524c95a828ae01e0081bacae6700a6768de,https://candledata.fxcorporate.com/m1/EURUSD/2018/40.csv.gz
2018,41,145743,11ad2d946126a6fb76941dfa8cf9e3dfbb912f18c90f9617f573dc1fc7330c3e,https://candledata.fxcorporate.com/m1/EURUSD/2018/41.csv.gz
2018,42,144828,9b3e2d57988b441b8499b12aa6d3db781407eaf2c2f3f26c8d26f032d7b253e0,https://candledata.fxcorporate.com/m1/EURUSD/2018/42.csv.gz
2018,43,145937,84ec6c19da0ca72350f8b93fe7b64f560251f510e5fab1e83777dfbe9ae95200,https://candledata.fxcorporate.com/m1/EURUSD/2018/43.csv.gz
2018,44,144833,254a020320b8f61094a5c7457f04895fafb2a0f240a52bd0f0cdfa695ffe66ce,https://candledata.fxcorporate.com/m1/EURUSD/2018/44.csv.gz
2018,45,146640,f90c957d3f3808f0cd682099c168f77903ba9d20510dc1f3a1e67750d14814a7,https://candledata.fxcorporate.com/m1/EURUSD/2018/45.csv.gz
2018,46,149877,98aef7b4e3eaa88b31d66cd15618995512436a3032577ce96643a9313f5392a7,https://candledata.fxcorporate.com/m1/EURUSD/2018/46.csv.gz
2018,47,143247,e46dba609228d857e8656515aa342ce7a8f8e01b7c438df06bc2cf33164cad58,https://candledata.fxcorporate.com/m1/EURUSD/2018/47.csv.gz
2018,48,145398,fa02b7aef35416b793ca8c04d68472938b09fd73055dc7ca2bb59861b7395334,https://candledata.fxcorporate.com/m1/EURUSD/2018/48.csv.gz
2018,49,146974,64e285186d9f79b10a068a5b9bb58248b7a6df4ccd8e169e7e96b0e1f427fbe2,https://candledata.fxcorporate.com/m1/EURUSD/2018/49.csv.gz
2018,50,145689,b5caa382734e594b10cd3467a157f1ae306a34db4badd4577cd0e979c01e419c,https://candledata.fxcorporate.com/m1/EURUSD/2018/50.csv.gz
2018,51,147248,dc10be7046afe5c33bb18bea875d0da51cfc4f4559ff9d7a3a3795f5e5802287,https://candledata.fxcorporate.com/m1/EURUSD/2018/51.csv.gz
2018,52,105600,35c1e23747a28bf2ce2093ae1ca2c3bbecd7355407a4edd3fb48c847c99ac151,https://candledata.fxcorporate.com/m1/EURUSD/2018/52.csv.gz
2018,53,107929,a729ad29ee69b2b9edfaaab8cb5cdf01aecf8fd9928ef9693230a06553747a35,https://candledata.fxcorporate.com/m1/EURUSD/2018/53.csv.gz
